Issuer BaFin-Id,Issuer,Issuer Domicile,Issuer Country,Reportable BaFin-Id,Reportable,Reportable Domicile,Reportable Country,Rights §33 & §34,Rights §38,Rights §39,Publishing Date
,,,,10105517,Union Investment Privatfonds GmbH,Frankfurt,Deutschland,"3,02","0,0","3,02",14.04.2022
,,,,61067681,"Zinonos, Despoina",,,"8,76","0,0","8,76",10.02.2021
40001464,Aves One AG,Hamburg,Deutschland,,,,,,,,
,,,,40012034,BPCE S.A.,Paris Cedex 13,Frankreich,"88,33","0,0","88,33",30.11.2021
,,,,10105509,HANSAINVEST Hanseatische Investment-GmbH,Hamburg,Deutschland,"3,00181","0,0","3,00181",04.11.2021
,,,,40008169,Swiss Life Holding AG,Zürich,Schweiz,"88,33","0,0","88,33",30.11.2021
40001718,B+S Banksysteme Aktiengesellschaft,München,Deutschland,,,,,,,,
,,,,50029468,Axxion S.A.,Grevenmacher,Luxemburg,"9,98","0,0","9,98",08.07.2019
,,,,61005383,"Bauch, Peter",,,"23,59",,,10.10.2008
,,,,60201820,"Berger, Wilhelm",,,"25,16",,,31.05.2010
,,,,61006088,"Hiss, Tom",,,"5,1","0,0","5,1",27.02.2020
,,,,60489456,"Neureither, Petra",,,"4,46","0,0","4,46",13.10.2020
40000910,BASF SE,Ludwigshafen,Deutschland,,,,,,,,
,,,,40006048,"BlackRock, Inc.",Wilmington,Vereinigte Staaten von Amerika,"5,15","0,46","5,61",17.03.2022
,,,,40003642,"The Goldman Sachs Group, Inc.",Wilmington,Vereinigte Staaten von Amerika,"0,27","4,77","5,04",10.05.2022
40001692,Basler Aktiengesellschaft,Ahrensburg,Deutschland,,,,,,,,
,,,,40029385,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUTUAL FUNDS),Wilmington,Vereinigte Staaten von Amerika,"5,71","0,0","5,71",14.10.2019
,,,,40001692,Basler Aktiengesellschaft,Ahrensburg,Deutschland,"5,0","0,0","5,0",20.07.2021
,,,,60488737,"Basler, Norbert",,,"52,67","0,0","52,67",15.12.2017
,,,,40008476,Invesco Ltd.,Hamilton,Bermuda,"5,71","0,0","5,71",14.10.2019
,,,,61059738,"Wertheimer, Ruth",,,"5,1","0,0","5,1",03.04.2019
40015256,Bastei Lübbe AG,Köln,Deutschland,,,,,,,,
,,,,40010093,Lazard Frères Gestion S.A.S.,Paris,Frankreich,"3,07","0,0","3,07",28.07.2016
,,,,61033179,"Lübbe, Birgit",,,"48,87",,,21.10.2014
,,,,61037254,"Meinecke, Eva",,,"3,01",,,24.10.2014
,,,,61037255,"Roggen, Andreas",,,"3,01",,,24.10.2014
,,,,61037256,"Roggen, Diana",,,"3,01",,,24.10.2014
,,,,40005721,Rossmann Beteiligungs GmbH,Burgwedel,Deutschland,"15,14","0,0","15,14",11.03.2022
,,,,10105520,Universal-Investment-Gesellschaft mit beschränkter Haftung,Frankfurt am Main,Deutschland,"4,83","0,0","4,83",01.09.2021
,,,,61044931,"Zang, Larissa Juliana",,,"3,01",,,16.09.2015
40005060,BAUER Aktiengesellschaft,Schrobenhausen,Deutschland,,,,,,,,
,,,,40020779,BAUER Stiftung,Schrobenhausen,Deutschland,"48,19",,,20.02.2013
,,,,61069345,"Bauer, Andrea",,,"43,81","0,0","43,81",14.06.2021
,,,,61020125,"Bauer, Dipl.-Kfm. Marlies",,,"48,16",,,11.07.2006
,,,,61020128,"Bauer, Dr.-Ing. Sebastian",,,"48,16",,,11.07.2006
,,,,61020129,"Bauer, Florian",,,"48,16",,,11.07.2006
,,,,61028842,"Bauer, Franziska Maria",,,"48,19",,,20.02.2013
,,,,60249401,"Bauer, Johannes",,,"48,16",,,11.07.2006
,,,,61028843,"Bauer, Johannes Christoph",,,"48,19",,,20.02.2013
,,,,61028844,"Bauer, Julia Chiara",,,"48,19",,,20.02.2013
,,,,60212082,"Bauer, Karl-Heinz",,,"48,16",,,11.07.2006
,,,,60247251,"Bauer, Martin",,,"48,16",,,11.07.2006
,,,,61020126,"Bauer, Prof. Dipl.-Kfm. Thomas",,,"48,16",,,11.07.2006
,,,,61028841,"Bauer, Stephanie Elisabeth",,,"48,19",,,20.02.2013
,,,,61028840,"Bauer, Wolfgang Karl",,,"48,19",,,20.02.2013
,,,,60488908,"Doblinger, Alfons",,,"29,99999","0,0","29,99999",14.07.2021
,,,,61020127,"Teschemacher, Dipl.-Ing. (FH) Elisabeth",,,"48,16",,,11.07.2006
,,,,61020131,"Teschemacher, Sonja",,,"48,16",,,11.07.2006
,,,,61020132,"Teschemacher, Tobias",,,"48,16",,,11.07.2006
,,,,61020130,"Teschemacher, Ulrich",,,"48,16",,,11.07.2006
40001030,Bayer Aktiengesellschaft,Leverkusen,Deutschland,,,,,,,,
